"Statistic Label","Region","Type of Animal","Year","UNIT","VALUE"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","1999","000 Head","4.2"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","2000","000 Head","3.8"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","2001","000 Head","4"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","2002","000 Head","4.2"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","2003","000 Head","4.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","2004","000 Head","4.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cattle: 2 years and over","1991","000 Head","165.1"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cattle: 2 years and over","1992","000 Head","171.8"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cattle: 2 years and over","1993","000 Head","158.1"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cattle: 2 years and over","1994","000 Head","153.8"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cattle: 2 years and over","1995","000 Head","151.7"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cattle: 2 years and over","1996","000 Head","142"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cattle: 2 years and over","1997","000 Head","132.5"
